source	site	layer	kind	position	label	l0
addsub-05-filter-integers	layers.21.self_attn.k_proj	21	self_attn.k_proj	4	=	0.0020
addsub-05-filter-integers	layers.21.self_attn.o_proj	21	self_attn.o_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.21.self_attn.o_proj	21	self_attn.o_proj	1	a	1.0000
addsub-05-filter-integers	layers.21.self_attn.o_proj	21	self_attn.o_proj	2	op	1.5075
addsub-05-filter-integers	layers.21.self_attn.o_proj	21	self_attn.o_proj	3	b	1.3970
addsub-05-filter-integers	layers.21.self_attn.o_proj	21	self_attn.o_proj	4	=	1.0000
addsub-05-filter-integers	layers.21.self_attn.q_proj	21	self_attn.q_proj	0	<BOS>	0.0000
addsub-05-filter-integers	layers.21.self_attn.q_proj	21	self_attn.q_proj	1	a	1.0000
addsub-05-filter-integers	layers.21.self_attn.q_proj	21	self_attn.q_proj	2	op	1.0000
addsub-05-filter-integers	layers.21.self_attn.q_proj	21	self_attn.q_proj	3	b	1.3433
addsub-05-filter-integers	layers.21.self_attn.q_proj	21	self_attn.q_proj	4	=	1.0000
addsub-05-filter-integers	layers.21.self_attn.v_proj	21	self_attn.v_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.21.self_attn.v_proj	21	self_attn.v_proj	1	a	1.0000
addsub-05-filter-integers	layers.21.self_attn.v_proj	21	self_attn.v_proj	2	op	1.0550
addsub-05-filter-integers	layers.21.self_attn.v_proj	21	self_attn.v_proj	3	b	0.4908
addsub-05-filter-integers	layers.21.self_attn.v_proj	21	self_attn.v_proj	4	=	0.2755
addsub-05-filter-integers	layers.22.mlp.down_proj	22	mlp.down_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.22.mlp.down_proj	22	mlp.down_proj	1	a	3.9290
addsub-05-filter-integers	layers.22.mlp.down_proj	22	mlp.down_proj	2	op	3.6600
addsub-05-filter-integers	layers.22.mlp.down_proj	22	mlp.down_proj	3	b	4.6537
addsub-05-filter-integers	layers.22.mlp.down_proj	22	mlp.down_proj	4	=	5.6325
addsub-05-filter-integers	layers.22.mlp.gate_proj	22	mlp.gate_proj	0	<BOS>	2.0000
addsub-05-filter-integers	layers.22.mlp.gate_proj	22	mlp.gate_proj	1	a	2.2275
addsub-05-filter-integers	layers.22.mlp.gate_proj	22	mlp.gate_proj	2	op	2.8802
addsub-05-filter-integers	layers.22.mlp.gate_proj	22	mlp.gate_proj	3	b	2.8790
addsub-05-filter-integers	layers.22.mlp.gate_proj	22	mlp.gate_proj	4	=	3.7208
addsub-05-filter-integers	layers.22.mlp.up_proj	22	mlp.up_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.22.mlp.up_proj	22	mlp.up_proj	1	a	2.2870
addsub-05-filter-integers	layers.22.mlp.up_proj	22	mlp.up_proj	2	op	3.2097
addsub-05-filter-integers	layers.22.mlp.up_proj	22	mlp.up_proj	3	b	3.0508
addsub-05-filter-integers	layers.22.mlp.up_proj	22	mlp.up_proj	4	=	4.9590
addsub-05-filter-integers	layers.22.self_attn.k_proj	22	self_attn.k_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.22.self_attn.k_proj	22	self_attn.k_proj	1	a	1.1003
addsub-05-filter-integers	layers.22.self_attn.k_proj	22	self_attn.k_proj	2	op	1.0355
addsub-05-filter-integers	layers.22.self_attn.k_proj	22	self_attn.k_proj	3	b	0.7837
addsub-05-filter-integers	layers.22.self_attn.k_proj	22	self_attn.k_proj	4	=	0.0012
addsub-05-filter-integers	layers.22.self_attn.o_proj	22	self_attn.o_proj	0	<BOS>	0.0000
addsub-05-filter-integers	layers.22.self_attn.o_proj	22	self_attn.o_proj	1	a	0.1103
addsub-05-filter-integers	layers.22.self_attn.o_proj	22	self_attn.o_proj	2	op	2.0942
addsub-05-filter-integers	layers.22.self_attn.o_proj	22	self_attn.o_proj	3	b	1.3433
addsub-05-filter-integers	layers.22.self_attn.o_proj	22	self_attn.o_proj	4	=	0.7595
addsub-05-filter-integers	layers.22.self_attn.q_proj	22	self_attn.q_proj	0	<BOS>	0.0000
addsub-05-filter-integers	layers.22.self_attn.q_proj	22	self_attn.q_proj	1	a	1.0000
addsub-05-filter-integers	layers.22.self_attn.q_proj	22	self_attn.q_proj	2	op	1.4082
addsub-05-filter-integers	layers.22.self_attn.q_proj	22	self_attn.q_proj	3	b	1.5258
addsub-05-filter-integers	layers.22.self_attn.q_proj	22	self_attn.q_proj	4	=	1.4005
addsub-05-filter-integers	layers.22.self_attn.v_proj	22	self_attn.v_proj	0	<BOS>	1.0000
addsub-05-filter-integers	layers.22.self_attn.v_proj	22	self_attn.v_proj	1	a	2.7127
addsub-05-filter-integers	layers.22.self_attn.v_proj	22	self_attn.v_proj	2	op	1.1360
addsub-05-filter-integers	layers.22.self_attn.v_proj	22	self_attn.v_proj	3	b	0.7810
addsub-05-filter-integers	layers.22.self_attn.v_proj	22	self_attn.v_proj	4	=	0.0000
addsub-05-filter-integers	layers.23.mlp.down_proj	23	mlp.down_proj	0	<BOS>	0.7420
addsub-05-filter-integers	layers.23.mlp.down_proj	23	mlp.down_proj	1	a	4.2410
addsub-05-filter-integers	layers.23.mlp.down_proj	23	mlp.down_proj	2	op	4.4390
addsub-05-filter-integers	layers.23.mlp.down_proj	23	mlp.down_proj	3	b	4.2723
addsub-05-filter-integers	layers.23.mlp.down_proj	23	mlp.down_proj	4	=	5.7537
addsub-05-filter-integers	layers.23.mlp.gate_proj	23	mlp.gate_proj	0	<BOS>	1.4457
addsub-05-filter-integers	layers.23.mlp.gate_proj	23	mlp.gate_proj	1	a	2.8247
addsub-05-filter-integers	layers.23.mlp.gate_proj	23	mlp.gate_proj	2	op	3.3832
addsub-05-filter-integers	layers.23.mlp.gate_proj	23	mlp.gate_proj	3	b	3.0855
addsub-05-filter-integers	layers.23.mlp.gate_proj	23	mlp.gate_proj	4	=	5.3273
addsub-05-filter-integers	layers.23.mlp.up_proj	23	mlp.up_proj	0	<BOS>	1.4403
